CustomerID,CustomerName,Region,SubscriptionType,SubscriptionStart,SubscriptionEnd,Canceled,Revenue,Duration,Renewed
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,2638,365,not renewed
202,Jane,South,Premium,2/28/2022,2/28/2023,TRUE,2456,365,renewed
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,2833,365,not renewed
204,Maria,West,Standard,4/30/2022,4/30/2023,TRUE,1309,365,renewed
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,2153,365,not renewed
206,Ella,South,Premium,6/30/2022,6/30/2023,TRUE,1317,365,renewed
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,2991,365,not renewed
208,Sara,West,Standard,8/31/2022,8/31/2023,FALSE,1278,365,not renewed
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,1296,365,renewed
210,Eva,South,Premium,10/31/2022,10/31/2023,TRUE,1168,365,renewed
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,2502,365,not renewed
212,Anna,West,Standard,12/31/2022,12/31/2023,FALSE,2855,365,not renewed
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,1807,365,renewed
214,Zoe,South,Premium,2/28/2023,2/29/2024,FALSE,1078,366,not renewed
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,2285,366,not renewed
216,Grace,West,Standard,4/30/2023,4/30/2024,TRUE,1960,366,renewed
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,2631,366,renewed
218,Sophia,South,Premium,6/30/2023,6/30/2024,FALSE,2485,366,not renewed
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,1980,366,not renewed
220,Nina,West,Standard,8/31/2023,8/31/2024,TRUE,2443,366,renewed
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,1728,365,not renewed
202,Jane,South,Premium,2/28/2022,2/28/2023,TRUE,1360,365,renewed
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,2787,365,not renewed
204,Maria,West,Standard,4/30/2022,4/30/2023,TRUE,1143,365,renewed
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,2996,365,not renewed
206,Ella,South,Premium,6/30/2022,6/30/2023,TRUE,2040,365,renewed
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,1873,365,not renewed
208,Sara,West,Standard,8/31/2022,8/31/2023,FALSE,1312,365,not renewed
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,2258,365,renewed
210,Eva,South,Premium,10/31/2022,10/31/2023,TRUE,1921,365,renewed
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,1286,365,not renewed
212,Anna,West,Standard,12/31/2022,12/31/2023,FALSE,2597,365,not renewed
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,2275,365,renewed
214,Zoe,South,Premium,2/28/2023,2/29/2024,FALSE,1019,366,not renewed
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,2212,366,not renewed
216,Grace,West,Standard,4/30/2023,4/30/2024,TRUE,2511,366,renewed
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,1308,366,renewed
218,Sophia,South,Premium,6/30/2023,6/30/2024,FALSE,1925,366,not renewed
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,1047,366,not renewed
220,Nina,West,Standard,8/31/2023,8/31/2024,TRUE,2639,366,renewed
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,1829,365,not renewed
202,Jane,South,Premium,2/28/2022,2/28/2023,TRUE,1067,365,renewed
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,1125,365,not renewed
204,Maria,West,Standard,4/30/2022,4/30/2023,TRUE,2633,365,renewed
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,2633,365,not renewed
206,Ella,South,Premium,6/30/2022,6/30/2023,TRUE,2850,365,renewed
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,1845,365,not renewed
208,Sara,West,Standard,8/31/2022,8/31/2023,FALSE,2947,365,not renewed
